200,171,409,177,613,183,819,188,1028,200,1235,204,1443,211,1648,219,1853,228,2055,236,2262,244,2466,249,,0
194,378,400,385,608,389,815,395,1021,405,1229,416,1434,422,1639,424,1844,433,2052,438,2253,447,2457,454,,1
190,581,393,589,601,598,810,603,1018,612,1226,619,1424,628,1629,636,1836,638,2045,644,2249,654,2449,659,,2
184,792,391,798,596,805,805,810,1011,817,1217,824,1419,831,1622,839,1828,845,2033,852,2240,856,2440,861,,3
180,999,385,1003,592,1008,796,1015,1003,1021,1209,1028,1410,1036,1615,1044,1823,1048,2025,1056,2231,1063,2436,1069,,4
173,1205,376,1211,586,1214,793,1219,997,1228,1203,1236,1404,1238,1610,1244,1812,1253,2021,1260,2223,1265,2427,1270,,5
170,1410,370,1415,576,1423,785,1426,989,1433,1193,1439,1399,1444,1599,1451,1809,1459,2009,1464,2218,1471,2422,1476,,6
163,1614,364,1622,571,1629,776,1634,982,1639,1188,1646,1390,1650,1597,1658,1798,1665,2003,1672,2208,1673,2413,1681,,7
,,,,,,,,,,,,,,,,,,,,,,,,,
x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,,
0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,,
